Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4- 2-2019  9:25AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  SUM4B.ngd
output file: SUM4B_pad.csv
Part type:   xc95288
Speed grade: -10
Package:     hq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,VCC,,VCCIO,,,,,,,,,,
P2,GND,,GND,,,,,,,,,,
P3,TIE,,I/O/GTS3,,,,,,,,,,
P4,TIE,,I/O,,,,,,,,,,
P5,TIE,,I/O/GTS4,,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,TIE,,I/O/GTS1,,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TIE,,I/O/GTS2,,,,,,,,,,
P10,TIE,,I/O,,,,,,,,,,
P11,VCC,,VCCINT,,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,GND,,GND,,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,TIE,,I/O,,,,,,,,,,
P16,TIE,,I/O,,,,,,,,,,
P17,TIE,,I/O,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,A<0>,I,I/O,INPUT,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,GND,,GND,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,GND,,GND,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TIE,,I/O,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,A<2>,I,I/O,INPUT,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,GND,,GND,,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,TIE,,I/O/GCK1,,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,TIE,,I/O/GCK2,,,,,,,,,,
P47,TIE,,I/O,,,,,,,,,,
P48,TIE,,I/O,,,,,,,,,,
P49,TIE,,I/O,,,,,,,,,,
P50,TIE,,I/O,,,,,,,,,,
P51,TIE,,I/O,,,,,,,,,,
P52,GND,,GND,,,,,,,,,,
P53,VCC,,VCCIO,,,,,,,,,,
P54,TIE,,I/O,,,,,,,,,,
P55,TIE,,I/O/GCK3,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,TIE,,I/O,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,VCC,,VCCINT,,,,,,,,,,
P60,B<3>,I,I/O,INPUT,,,,,,,,,
P61,TIE,,I/O,,,,,,,,,,
P62,TIE,,I/O,,,,,,,,,,
P63,TIE,,I/O,,,,,,,,,,
P64,TIE,,I/O,,,,,,,,,,
P65,VCC,,VCCIO,,,,,,,,,,
P66,TIE,,I/O,,,,,,,,,,
P67,TIE,,I/O,,,,,,,,,,
P68,GND,,GND,,,,,,,,,,
P69,TIE,,I/O,,,,,,,,,,
P70,TIE,,I/O,,,,,,,,,,
P71,TIE,,I/O,,,,,,,,,,
P72,B<0>,I,I/O,INPUT,,,,,,,,,
P73,TIE,,I/O,,,,,,,,,,
P74,TIE,,I/O,,,,,,,,,,
P75,Y<1>,O,I/O,OUTPUT,,,,,,,,,
P76,TIE,,I/O,,,,,,,,,,
P77,TIE,,I/O,,,,,,,,,,
P78,TIE,,I/O,,,,,,,,,,
P79,VCC,,VCCIO,,,,,,,,,,
P80,TIE,,I/O,,,,,,,,,,
P81,GND,,GND,,,,,,,,,,
P82,TIE,,I/O,,,,,,,,,,
P83,TIE,,I/O,,,,,,,,,,
P84,TIE,,I/O,,,,,,,,,,
P85,TIE,,I/O,,,,,,,,,,
P86,TIE,,I/O,,,,,,,,,,
P87,Y<0>,O,I/O,OUTPUT,,,,,,,,,
P88,TIE,,I/O,,,,,,,,,,
P89,TIE,,I/O,,,,,,,,,,
P90,TIE,,I/O,,,,,,,,,,
P91,TIE,,I/O,,,,,,,,,,
P92,VCC,,VCCIO,,,,,,,,,,
P93,GND,,GND,,,,,,,,,,
P94,TDI,,TDI,,,,,,,,,,
P95,TIE,,I/O,,,,,,,,,,
P96,TMS,,TMS,,,,,,,,,,
P97,TIE,,I/O,,,,,,,,,,
P98,TCK,,TCK,,,,,,,,,,
P99,TIE,,I/O,,,,,,,,,,
P100,TIE,,I/O,,,,,,,,,,
P101,TIE,,I/O,,,,,,,,,,
P102,TIE,,I/O,,,,,,,,,,
P103,COUT,O,I/O,OUTPUT,,,,,,,,,
P104,GND,,GND,,,,,,,,,,
P105,VCC,,VCCIO,,,,,,,,,,
P106,TIE,,I/O,,,,,,,,,,
P107,TIE,,I/O,,,,,,,,,,
P108,GND,,GND,,,,,,,,,,
P109,TIE,,I/O,,,,,,,,,,
P110,TIE,,I/O,,,,,,,,,,
P111,TIE,,I/O,,,,,,,,,,
P112,TIE,,I/O,,,,,,,,,,
P113,TIE,,I/O,,,,,,,,,,
P114,TIE,,I/O,,,,,,,,,,
P115,TIE,,I/O,,,,,,,,,,
P116,TIE,,I/O,,,,,,,,,,
P117,TIE,,I/O,,,,,,,,,,
P118,TIE,,I/O,,,,,,,,,,
P119,TIE,,I/O,,,,,,,,,,
P120,TIE,,I/O,,,,,,,,,,
P121,TIE,,I/O,,,,,,,,,,
P122,A<3>,I,I/O,INPUT,,,,,,,,,
P123,TIE,,I/O,,,,,,,,,,
P124,VCC,,VCCINT,,,,,,,,,,
P125,TIE,,I/O,,,,,,,,,,
P126,TIE,,I/O,,,,,,,,,,
P127,TIE,,I/O,,,,,,,,,,
P128,TIE,,I/O,,,,,,,,,,
P129,GND,,GND,,,,,,,,,,
P130,GND,,GND,,,,,,,,,,
P131,TIE,,I/O,,,,,,,,,,
P132,VCC,,VCCIO,,,,,,,,,,
P133,A<1>,I,I/O,INPUT,,,,,,,,,
P134,TIE,,I/O,,,,,,,,,,
P135,TIE,,I/O,,,,,,,,,,
